日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2024-01-02,603291,14.86,15.17,15.56,14.86,78363,121713651.0,4.71,2.09,0.31,18.52
2024-01-03,603291,15.02,15.12,15.16,14.9,37877,58174669.0,1.71,-0.33,-0.05,8.95
2024-01-04,603291,15.08,15.02,15.36,15.02,35530,54934049.0,2.25,-0.66,-0.1,8.4
2024-01-05,603291,14.82,14.55,15.01,14.48,36376,54673799.0,3.53,-3.13,-0.47,8.6
2024-01-08,603291,14.55,14.53,14.89,14.5,30638,46002678.0,2.68,-0.14,-0.02,7.24
2024-01-09,603291,14.58,14.39,14.76,14.31,25309,37633904.0,3.1,-0.96,-0.14,5.98
2024-01-10,603291,14.37,14.17,14.43,14.11,21456,31212811.0,2.22,-1.53,-0.22,5.07
2024-01-11,603291,14.18,14.9,15.18,14.13,91408,138365529.0,7.41,5.15,0.73,21.6
2024-01-12,603291,14.84,14.75,15.43,14.75,75869,117497352.0,4.56,-1.01,-0.15,17.93
2024-01-15,603291,14.67,14.42,14.95,14.39,41134,61300264.0,3.8,-2.24,-0.33,9.72
2024-01-16,603291,14.41,14.14,14.54,13.99,28570,41322619.0,3.81,-1.94,-0.28,6.75
2024-01-17,603291,14.07,13.69,14.23,13.68,27268,38881011.0,3.89,-3.18,-0.45,6.44
2024-01-18,603291,13.59,13.46,13.59,13.1,32011,43756893.0,3.58,-1.68,-0.23,7.56
2024-01-19,603291,13.4,13.3,13.72,13.28,24362,33543040.0,3.27,-1.19,-0.16,5.76
2024-01-22,603291,13.16,12.59,13.3,12.39,25770,34087495.0,6.84,-5.34,-0.71,6.09
2024-01-23,603291,12.53,12.76,12.8,12.31,20065,25997186.0,3.89,1.35,0.17,4.74
2024-01-24,603291,12.71,12.81,12.93,12.37,20683,26960164.0,4.39,0.39,0.05,4.89
2024-01-25,603291,12.77,13.14,13.14,12.77,26863,35773717.0,2.89,2.58,0.33,6.35
2024-01-26,603291,13.05,13.03,13.41,13.0,21551,29146111.0,3.12,-0.84,-0.11,5.09
2024-01-29,603291,13.07,12.9,13.13,12.79,14993,19860930.0,2.61,-1.0,-0.13,3.54
2024-01-30,603291,12.78,12.57,12.97,12.57,15001,19618891.0,3.1,-2.56,-0.33,3.54
2024-01-31,603291,12.69,12.03,12.69,11.99,19736,24975872.0,5.57,-4.3,-0.54,4.66
2024-02-01,603291,12.03,11.94,12.2,11.7,15565,19127910.0,4.16,-0.75,-0.09,3.68
2024-02-02,603291,11.92,11.2,12.08,10.73,28160,32913235.0,11.31,-6.2,-0.74,6.65
2024-02-05,603291,10.97,10.07,11.03,10.05,30569,32364106.0,8.75,-10.09,-1.13,7.22
2024-02-06,603291,9.97,10.48,10.82,9.48,28902,30345036.0,13.31,4.07,0.41,6.83
2024-02-07,603291,10.48,9.68,10.59,9.66,38101,39817742.0,8.87,-7.63,-0.8,9.0
2024-02-08,603291,9.74,10.25,10.34,8.7,49752,49357312.0,16.94,5.89,0.57,11.76
2024-02-19,603291,10.44,10.83,10.9,10.44,43552,47973325.0,4.49,5.66,0.58,10.29
2024-02-20,603291,10.82,11.03,11.07,10.48,29303,32832303.0,5.45,1.85,0.2,6.92
2024-02-21,603291,11.03,11.27,11.57,10.78,31315,36410337.0,7.16,2.18,0.24,7.4
2024-02-22,603291,11.18,11.46,11.5,11.18,22114,25892586.0,2.84,1.69,0.19,5.23
2024-02-23,603291,11.62,11.67,11.72,11.38,22553,26780281.0,2.97,1.83,0.21,5.33
2024-02-26,603291,11.88,11.79,12.05,11.67,33522,40797445.0,3.26,1.03,0.12,7.92
2024-02-27,603291,11.78,12.07,12.08,11.65,25620,31507459.0,3.65,2.37,0.28,6.05
2024-02-28,603291,12.05,11.09,12.38,11.05,44438,53696873.0,11.02,-8.12,-0.98,10.5
2024-02-29,603291,11.07,11.47,11.52,10.97,28108,32769842.0,4.96,3.43,0.38,6.64
2024-03-01,603291,11.44,11.58,11.67,11.39,21426,25393841.0,2.44,0.96,0.11,5.06
2024-03-04,603291,11.58,11.47,11.74,11.12,24360,28532192.0,5.35,-0.95,-0.11,5.76
2024-03-05,603291,11.45,11.17,11.46,11.13,21071,24363713.0,2.88,-2.62,-0.3,4.98
2024-03-06,603291,11.12,11.3,11.55,11.12,22091,25771508.0,3.85,1.16,0.13,5.22
2024-03-07,603291,11.31,11.49,11.98,11.22,59692,71060597.0,6.73,1.68,0.19,14.1
2024-03-08,603291,11.27,11.28,11.56,11.07,38988,45157887.0,4.26,-1.83,-0.21,9.21
2024-03-11,603291,11.21,11.82,12.2,11.13,64811,78121434.0,9.49,4.79,0.54,15.31
2024-03-12,603291,11.78,11.7,11.83,11.63,43879,52835482.0,1.69,-1.02,-0.12,10.37
2024-03-13,603291,11.72,11.59,11.76,11.52,27607,32992822.0,2.05,-0.94,-0.11,6.52
2024-03-14,603291,11.59,11.72,11.86,11.48,35789,43037463.0,3.28,1.12,0.13,8.46
2024-03-15,603291,11.89,12.13,12.85,11.8,84115,105686870.0,8.96,3.5,0.41,19.87
2024-03-18,603291,12.13,12.18,12.43,11.99,57591,71850756.0,3.63,0.41,0.05,13.61
2024-03-19,603291,12.11,11.99,12.19,11.94,38587,47738000.0,2.05,-1.56,-0.19,9.12
2024-03-20,603291,11.99,12.05,12.07,11.93,27268,33671309.0,1.17,0.5,0.06,6.44
2024-03-21,603291,12.06,12.16,12.42,11.85,57740,71756342.0,4.73,0.91,0.11,13.64
2024-03-22,603291,12.02,11.73,12.07,11.72,38029,46299323.0,2.88,-3.54,-0.43,8.99
2024-03-25,603291,11.67,11.34,11.72,11.3,30681,36400644.0,3.58,-3.32,-0.39,7.25
2024-03-26,603291,11.35,11.39,11.48,11.11,27080,31393257.0,3.26,0.44,0.05,6.4
2024-03-27,603291,11.37,11.21,11.82,11.17,35724,42420265.0,5.71,-1.58,-0.18,2.75
2024-03-28,603291,10.86,11.19,11.27,10.76,28607,32714561.0,4.55,-0.18,-0.02,2.2
2024-03-29,603291,10.9,11.39,11.53,10.9,24529,28681964.0,5.63,1.79,0.2,1.89
2024-04-01,603291,11.38,12.21,12.35,11.34,80469,99257255.0,8.87,7.2,0.82,6.19
2024-04-02,603291,12.17,12.56,12.77,12.12,74515,95669105.0,5.32,2.87,0.35,5.73
2024-04-03,603291,12.56,12.64,12.7,12.25,53158,68236583.0,3.58,0.64,0.08,4.09
2024-04-08,603291,12.64,12.7,12.93,12.5,46942,61323927.0,3.4,0.47,0.06,3.61
2024-04-09,603291,12.92,12.77,13.04,12.59,35477,46446908.0,3.54,0.55,0.07,2.73
2024-04-10,603291,12.8,13.09,13.16,12.77,68424,91533557.0,3.05,2.51,0.32,5.27
2024-04-11,603291,12.87,13.21,13.52,12.85,61101,82921131.0,5.12,0.92,0.12,4.7
2024-04-12,603291,13.15,13.28,13.37,12.97,36188,48928884.0,3.03,0.53,0.07,2.78
2024-04-15,603291,13.3,13.16,13.46,12.41,45498,60895628.0,7.91,-0.9,-0.12,3.5
2024-04-16,603291,12.72,12.82,13.16,12.52,32973,43290436.0,4.86,-2.58,-0.34,2.54
2024-04-17,603291,12.82,13.58,13.71,12.82,42150,58017270.0,6.94,5.93,0.76,3.24
2024-04-18,603291,13.47,13.21,13.73,13.2,36522,50309249.0,3.9,-2.72,-0.37,2.81
2024-04-19,603291,13.21,13.24,13.56,13.02,23566,32069198.0,4.09,0.23,0.03,1.81
2024-04-22,603291,13.26,13.5,13.82,13.26,46369,64462650.0,4.23,1.96,0.26,3.57
2024-04-23,603291,13.4,13.64,13.76,13.4,38885,54268893.0,2.67,1.04,0.14,2.99
2024-04-24,603291,13.63,14.17,14.17,13.48,46461,66152555.0,5.06,3.89,0.53,3.58
2024-04-25,603291,14.17,14.93,15.32,13.98,92664,140186560.0,9.46,5.36,0.76,7.13
2024-04-26,603291,14.66,13.94,14.66,13.75,88378,127599459.0,6.1,-6.63,-0.99,6.8
2024-04-29,603291,13.98,13.88,14.15,13.76,41087,58561118.0,2.8,-0.43,-0.06,3.16
2024-04-30,603291,14.01,14.08,14.27,13.85,49625,71505575.0,3.03,1.44,0.2,3.82
2024-05-06,603291,14.25,14.75,15.07,14.06,73004,109192886.0,7.17,4.76,0.67,5.62
2024-05-07,603291,13.91,13.73,14.08,13.37,72200,101681745.0,4.81,-6.92,-1.02,5.56
2024-05-08,603291,13.73,13.75,13.84,13.55,34020,47764047.0,2.11,0.15,0.02,2.62
2024-05-09,603291,13.7,14.15,14.52,13.66,66137,95804365.0,6.25,2.91,0.4,5.09
2024-05-10,603291,13.98,14.02,14.23,13.73,41077,58625718.0,3.53,-0.92,-0.13,3.16
