时间,开盘,收盘,最高,最低,成交量,成交额,均价
2025-12-09 09:30:00,0.0,17.09,17.09,17.09,183,312747.0,17.09
2025-12-09 09:31:00,0.0,17.1,17.16,17.06,1645,2814051.0,17.105
2025-12-09 09:32:00,0.0,17.06,17.09,17.06,575,981574.0,17.097
2025-12-09 09:33:00,0.0,17.08,17.09,17.03,861,1467950.0,17.084
2025-12-09 09:34:00,0.0,17.04,17.08,17.04,567,966893.0,17.08
2025-12-09 09:35:00,0.0,17.05,17.06,17.04,224,381997.0,17.078
2025-12-09 09:36:00,0.0,17.06,17.06,17.05,509,868930.0,17.076
2025-12-09 09:37:00,0.0,17.07,17.08,17.05,379,646933.0,17.076
2025-12-09 09:38:00,0.0,17.06,17.07,17.06,465,793492.0,17.075
2025-12-09 09:39:00,0.0,17.07,17.07,17.05,581,991009.0,17.073
2025-12-09 09:40:00,0.0,17.09,17.1,17.07,365,623508.0,17.073
2025-12-09 09:41:00,0.0,17.11,17.12,17.1,681,1165337.0,17.077
2025-12-09 09:42:00,0.0,17.09,17.12,17.09,574,982113.0,17.08
2025-12-09 09:43:00,0.0,17.11,17.11,17.09,572,978248.0,17.081
2025-12-09 09:44:00,0.0,17.12,17.14,17.11,687,1176476.0,17.085
2025-12-09 09:45:00,0.0,17.11,17.12,17.11,307,525407.0,17.086
2025-12-09 09:46:00,0.0,17.1,17.11,17.09,544,930136.0,17.086
2025-12-09 09:47:00,0.0,17.09,17.11,17.09,460,786308.0,17.087
2025-12-09 09:48:00,0.0,17.09,17.1,17.09,145,247877.0,17.087
2025-12-09 09:49:00,0.0,17.08,17.1,17.08,423,722962.0,17.087
2025-12-09 09:50:00,0.0,17.09,17.09,17.08,124,211889.0,17.087
2025-12-09 09:51:00,0.0,17.08,17.09,17.08,319,544926.0,17.087
2025-12-09 09:52:00,0.0,17.08,17.09,17.07,296,505631.0,17.087
2025-12-09 09:53:00,0.0,17.07,17.09,17.07,239,408134.0,17.087
2025-12-09 09:54:00,0.0,17.08,17.08,17.07,187,319338.0,17.086
2025-12-09 09:55:00,0.0,17.06,17.08,17.06,401,684480.0,17.086
2025-12-09 09:56:00,0.0,17.07,17.08,17.06,497,848337.0,17.085
2025-12-09 09:57:00,0.0,17.07,17.07,17.06,387,660258.0,17.084
2025-12-09 09:58:00,0.0,17.04,17.06,17.03,3062,5218491.0,17.077
2025-12-09 09:59:00,0.0,17.03,17.04,17.02,666,1133497.0,17.075
2025-12-09 10:00:00,0.0,17.03,17.03,17.02,634,1079621.0,17.073
2025-12-09 10:01:00,0.0,17.02,17.04,17.02,668,1137483.0,17.071
2025-12-09 10:02:00,0.0,17.05,17.05,17.03,338,576022.0,17.071
2025-12-09 10:03:00,0.0,17.04,17.05,17.04,247,421037.0,17.071
2025-12-09 10:04:00,0.0,17.07,17.07,17.04,550,937865.0,17.07
2025-12-09 10:05:00,0.0,17.08,17.09,17.07,115,196427.0,17.07
2025-12-09 10:06:00,0.0,17.07,17.08,17.05,242,413147.0,17.07
2025-12-09 10:07:00,0.0,17.06,17.08,17.06,254,433561.0,17.07
2025-12-09 10:08:00,0.0,17.06,17.07,17.06,188,320776.0,17.07
2025-12-09 10:09:00,0.0,17.06,17.07,17.06,182,310538.0,17.07
2025-12-09 10:10:00,0.0,17.03,17.07,17.03,469,799553.0,17.07
2025-12-09 10:11:00,0.0,17.02,17.04,17.01,1076,1831566.0,17.067
2025-12-09 10:12:00,0.0,17.0,17.01,16.98,2342,3980783.0,17.06
2025-12-09 10:13:00,0.0,17.0,17.01,17.0,160,272051.0,17.06
2025-12-09 10:14:00,0.0,17.0,17.01,16.99,315,535455.0,17.059
2025-12-09 10:15:00,0.0,17.0,17.0,16.99,501,851518.0,17.058
2025-12-09 10:16:00,0.0,16.99,17.01,16.99,484,822796.0,17.057
2025-12-09 10:17:00,0.0,17.0,17.0,16.98,691,1174146.0,17.055
2025-12-09 10:18:00,0.0,17.0,17.01,16.99,418,710577.0,17.054
2025-12-09 10:19:00,0.0,16.98,17.0,16.98,435,738910.0,17.053
2025-12-09 10:20:00,0.0,16.95,16.99,16.95,2610,4426422.0,17.045
2025-12-09 10:21:00,0.0,16.95,16.96,16.94,1594,2701112.0,17.04
2025-12-09 10:22:00,0.0,16.98,16.98,16.95,355,602192.0,17.039
2025-12-09 10:23:00,0.0,16.99,17.0,16.98,298,506125.0,17.039
2025-12-09 10:24:00,0.0,16.98,16.99,16.98,77,130752.0,17.039
2025-12-09 10:25:00,0.0,16.99,16.99,16.98,238,404170.0,17.038
2025-12-09 10:26:00,0.0,16.98,16.99,16.98,128,217348.0,17.038
2025-12-09 10:27:00,0.0,16.98,16.99,16.98,483,820162.0,17.037
2025-12-09 10:28:00,0.0,16.98,16.99,16.97,294,499205.0,17.037
2025-12-09 10:29:00,0.0,16.99,16.99,16.98,289,490924.0,17.036
2025-12-09 10:30:00,0.0,16.98,16.99,16.97,356,604437.0,17.036
2025-12-09 10:31:00,0.0,16.96,16.97,16.96,673,1141609.0,17.034
2025-12-09 10:32:00,0.0,16.96,16.96,16.95,227,384919.0,17.034
2025-12-09 10:33:00,0.0,16.95,16.96,16.95,447,757717.0,17.033
2025-12-09 10:34:00,0.0,16.97,16.97,16.95,311,527435.0,17.032
2025-12-09 10:35:00,0.0,16.97,16.97,16.96,153,259592.0,17.032
2025-12-09 10:36:00,0.0,16.97,16.97,16.96,107,181551.0,17.031
2025-12-09 10:37:00,0.0,16.96,16.97,16.96,225,381623.0,17.031
2025-12-09 10:38:00,0.0,16.96,16.97,16.96,142,240849.0,17.031
2025-12-09 10:39:00,0.0,16.96,16.96,16.95,276,467889.0,17.03
2025-12-09 10:40:00,0.0,16.96,16.96,16.95,174,295015.0,17.03
2025-12-09 10:41:00,0.0,16.96,16.96,16.95,292,495082.0,17.029
2025-12-09 10:42:00,0.0,16.98,16.98,16.95,891,1511348.0,17.028
2025-12-09 10:43:00,0.0,16.98,17.0,16.97,1479,2513438.0,17.026
2025-12-09 10:44:00,0.0,16.97,16.99,16.96,405,687128.0,17.026
2025-12-09 10:45:00,0.0,16.97,16.97,16.96,172,291721.0,17.025
2025-12-09 10:46:00,0.0,16.97,16.97,16.96,142,240857.0,17.025
2025-12-09 10:47:00,0.0,16.96,16.97,16.96,177,300249.0,17.025
2025-12-09 10:48:00,0.0,16.96,16.97,16.96,169,286632.0,17.025
2025-12-09 10:49:00,0.0,16.97,16.97,16.95,362,613935.0,17.024
2025-12-09 10:50:00,0.0,16.97,16.97,16.96,42,71251.0,17.024
2025-12-09 10:51:00,0.0,16.97,16.97,16.96,267,452839.0,17.024
2025-12-09 10:52:00,0.0,16.95,16.97,16.95,74,125504.0,17.024
2025-12-09 10:53:00,0.0,16.95,16.96,16.95,64,108490.0,17.023
2025-12-09 10:54:00,0.0,16.97,16.97,16.95,298,505335.0,17.023
2025-12-09 10:55:00,0.0,16.96,16.97,16.96,84,142465.0,17.023
2025-12-09 10:56:00,0.0,16.96,16.97,16.95,242,410296.0,17.022
2025-12-09 10:57:00,0.0,16.97,16.97,16.95,223,378096.0,17.022
2025-12-09 10:58:00,0.0,16.96,16.97,16.96,233,395178.0,17.022
2025-12-09 10:59:00,0.0,16.96,16.97,16.95,134,227268.0,17.022
2025-12-09 11:00:00,0.0,16.96,16.97,16.96,102,172994.0,17.021
2025-12-09 11:01:00,0.0,16.96,16.96,16.95,101,171218.0,17.021
2025-12-09 11:02:00,0.0,16.96,16.96,16.95,362,613751.0,17.021
2025-12-09 11:03:00,0.0,16.96,16.96,16.95,61,103450.0,17.021
2025-12-09 11:04:00,0.0,16.96,16.96,16.95,140,237409.0,17.02
2025-12-09 11:05:00,0.0,16.97,16.97,16.96,159,269770.0,17.02
2025-12-09 11:06:00,0.0,16.95,16.96,16.95,144,244221.0,17.02
2025-12-09 11:07:00,0.0,16.96,16.96,16.95,163,276403.0,17.02
2025-12-09 11:08:00,0.0,16.96,16.97,16.95,138,234017.0,17.02
2025-12-09 11:09:00,0.0,16.96,16.96,16.95,249,422160.0,17.019
2025-12-09 11:10:00,0.0,16.96,16.96,16.95,50,84786.0,17.019
2025-12-09 11:11:00,0.0,16.95,16.96,16.95,85,144097.0,17.019
2025-12-09 11:12:00,0.0,16.96,16.96,16.95,150,254319.0,17.019
2025-12-09 11:13:00,0.0,16.96,16.96,16.95,224,379716.0,17.018
2025-12-09 11:14:00,0.0,16.94,16.95,16.94,393,666072.0,17.018
2025-12-09 11:15:00,0.0,16.95,16.95,16.94,304,514992.0,17.017
2025-12-09 11:16:00,0.0,16.93,16.95,16.93,271,459048.0,17.017
2025-12-09 11:17:00,0.0,16.92,16.93,16.92,501,847760.0,17.016
2025-12-09 11:18:00,0.0,16.94,16.94,16.92,381,644965.0,17.015
2025-12-09 11:19:00,0.0,16.92,16.93,16.92,123,208195.0,17.015
2025-12-09 11:20:00,0.0,16.92,16.93,16.91,312,527916.0,17.014
2025-12-09 11:21:00,0.0,16.93,16.93,16.92,139,235218.0,17.014
2025-12-09 11:22:00,0.0,16.93,16.93,16.92,386,653287.0,17.013
2025-12-09 11:23:00,0.0,16.93,16.94,16.92,214,362266.0,17.013
2025-12-09 11:24:00,0.0,16.92,16.94,16.92,187,316438.0,17.012
2025-12-09 11:25:00,0.0,16.92,16.93,16.91,316,534475.0,17.012
2025-12-09 11:26:00,0.0,16.92,16.92,16.91,289,488795.0,17.011
2025-12-09 11:27:00,0.0,16.91,16.92,16.89,2567,4339618.0,17.006
2025-12-09 11:28:00,0.0,16.94,16.94,16.91,202,341823.0,17.005
2025-12-09 11:29:00,0.0,16.94,16.95,16.94,175,296460.0,17.005
2025-12-09 11:30:00,0.0,16.92,16.95,16.91,251,424985.0,17.005
2025-12-09 13:01:00,0.0,16.92,16.92,16.91,507,857475.0,17.004
2025-12-09 13:02:00,0.0,16.91,16.91,16.9,211,356791.0,17.004
2025-12-09 13:03:00,0.0,16.94,16.94,16.92,156,264013.0,17.003
2025-12-09 13:04:00,0.0,16.93,16.94,16.92,110,186262.0,17.003
2025-12-09 13:05:00,0.0,16.93,16.93,16.93,27,45711.0,17.003
2025-12-09 13:06:00,0.0,16.93,16.93,16.92,52,88023.0,17.003
2025-12-09 13:07:00,0.0,16.91,16.92,16.91,150,253749.0,17.003
2025-12-09 13:08:00,0.0,16.93,16.93,16.92,101,170901.0,17.003
2025-12-09 13:09:00,0.0,16.92,16.93,16.92,164,277516.0,17.002
2025-12-09 13:10:00,0.0,16.92,16.93,16.92,115,194606.0,17.002
2025-12-09 13:11:00,0.0,16.92,16.93,16.91,263,445005.0,17.002
2025-12-09 13:12:00,0.0,16.92,16.93,16.91,105,177657.0,17.002
2025-12-09 13:13:00,0.0,16.92,16.92,16.91,53,89640.0,17.002
2025-12-09 13:14:00,0.0,16.92,16.92,16.91,103,174222.0,17.001
2025-12-09 13:15:00,0.0,16.92,16.92,16.91,77,130237.0,17.001
2025-12-09 13:16:00,0.0,16.91,16.92,16.9,224,378762.0,17.001
2025-12-09 13:17:00,0.0,16.92,16.92,16.9,144,243505.0,17.001
2025-12-09 13:18:00,0.0,16.92,16.92,16.92,15,25379.0,17.001
2025-12-09 13:19:00,0.0,16.92,16.92,16.91,99,167433.0,17.001
2025-12-09 13:20:00,0.0,16.92,16.92,16.91,72,121774.0,17.0
2025-12-09 13:21:00,0.0,16.9,16.92,16.9,171,289164.0,17.0
2025-12-09 13:22:00,0.0,16.92,16.92,16.9,210,355129.0,17.0
2025-12-09 13:23:00,0.0,16.93,16.93,16.92,263,445042.0,16.999
2025-12-09 13:24:00,0.0,16.93,16.93,16.92,82,138790.0,16.999
2025-12-09 13:25:00,0.0,16.92,16.93,16.92,76,128605.0,16.999
2025-12-09 13:26:00,0.0,16.92,16.92,16.91,111,187776.0,16.999
2025-12-09 13:27:00,0.0,16.93,16.93,16.92,162,274118.0,16.999
2025-12-09 13:28:00,0.0,16.93,16.93,16.92,17,28771.0,16.999
2025-12-09 13:29:00,0.0,16.91,16.93,16.91,342,578565.0,16.998
2025-12-09 13:30:00,0.0,16.92,16.93,16.91,147,248645.0,16.998
2025-12-09 13:31:00,0.0,16.91,16.91,16.9,245,414272.0,16.998
2025-12-09 13:32:00,0.0,16.92,16.92,16.9,131,221514.0,16.997
2025-12-09 13:33:00,0.0,16.91,16.91,16.91,144,243503.0,16.997
2025-12-09 13:34:00,0.0,16.91,16.92,16.91,94,158992.0,16.997
2025-12-09 13:35:00,0.0,16.92,16.92,16.91,59,99791.0,16.997
2025-12-09 13:36:00,0.0,16.91,16.91,16.91,161,272250.0,16.997
2025-12-09 13:37:00,0.0,16.9,16.92,16.9,130,219843.0,16.997
2025-12-09 13:38:00,0.0,16.92,16.92,16.9,124,209649.0,16.996
2025-12-09 13:39:00,0.0,16.9,16.92,16.9,80,135238.0,16.996
2025-12-09 13:40:00,0.0,16.91,16.92,16.9,97,164020.0,16.996
2025-12-09 13:41:00,0.0,16.9,16.92,16.9,109,184282.0,16.996
2025-12-09 13:42:00,0.0,16.89,16.91,16.89,684,1156034.0,16.995
2025-12-09 13:43:00,0.0,16.9,16.9,16.89,161,272074.0,16.995
2025-12-09 13:44:00,0.0,16.89,16.91,16.89,503,849701.0,16.994
2025-12-09 13:45:00,0.0,16.9,16.9,16.89,126,212818.0,16.993
2025-12-09 13:46:00,0.0,16.89,16.9,16.89,67,113188.0,16.993
2025-12-09 13:47:00,0.0,16.9,16.9,16.89,50,84462.0,16.993
2025-12-09 13:48:00,0.0,16.9,16.9,16.89,311,525292.0,16.993
2025-12-09 13:49:00,0.0,16.89,16.9,16.89,61,103032.0,16.993
2025-12-09 13:50:00,0.0,16.88,16.9,16.88,163,275246.0,16.992
2025-12-09 13:51:00,0.0,16.89,16.9,16.88,297,501452.0,16.992
2025-12-09 13:52:00,0.0,16.87,16.88,16.87,829,1399288.0,16.99
2025-12-09 13:53:00,0.0,16.88,16.88,16.87,78,131617.0,16.99
2025-12-09 13:54:00,0.0,16.88,16.88,16.87,45,75934.0,16.99
2025-12-09 13:55:00,0.0,16.88,16.88,16.87,157,264892.0,16.99
2025-12-09 13:56:00,0.0,16.88,16.88,16.87,105,177185.0,16.989
2025-12-09 13:57:00,0.0,16.88,16.88,16.87,172,290299.0,16.989
2025-12-09 13:58:00,0.0,16.87,16.88,16.87,393,663138.0,16.988
2025-12-09 13:59:00,0.0,16.85,16.88,16.85,730,1230929.0,16.987
2025-12-09 14:00:00,0.0,16.87,16.87,16.85,423,713114.0,16.986
2025-12-09 14:01:00,0.0,16.86,16.87,16.86,255,429936.0,16.986
2025-12-09 14:02:00,0.0,16.84,16.86,16.84,899,1514673.0,16.984
2025-12-09 14:03:00,0.0,16.86,16.86,16.83,400,673765.0,16.983
2025-12-09 14:04:00,0.0,16.85,16.86,16.85,107,180331.0,16.983
2025-12-09 14:05:00,0.0,16.86,16.86,16.85,218,367409.0,16.982
2025-12-09 14:06:00,0.0,16.87,16.88,16.85,127,214199.0,16.982
2025-12-09 14:07:00,0.0,16.87,16.88,16.87,107,180573.0,16.982
2025-12-09 14:08:00,0.0,16.87,16.88,16.87,111,187297.0,16.982
2025-12-09 14:09:00,0.0,16.86,16.88,16.86,164,276693.0,16.981
2025-12-09 14:10:00,0.0,16.87,16.87,16.86,95,160223.0,16.981
2025-12-09 14:11:00,0.0,16.86,16.87,16.86,104,175368.0,16.981
2025-12-09 14:12:00,0.0,16.87,16.87,16.86,89,150105.0,16.981
2025-12-09 14:13:00,0.0,16.86,16.87,16.85,470,792485.0,16.98
2025-12-09 14:14:00,0.0,16.86,16.86,16.85,182,306731.0,16.98
2025-12-09 14:15:00,0.0,16.89,16.89,16.85,860,1450254.0,16.978
2025-12-09 14:16:00,0.0,16.85,16.89,16.85,246,414973.0,16.978
2025-12-09 14:17:00,0.0,16.83,16.85,16.82,2074,3492108.0,16.973
2025-12-09 14:18:00,0.0,16.8,16.83,16.8,1815,3050757.0,16.969
2025-12-09 14:19:00,0.0,16.82,16.83,16.8,533,896068.0,16.968
2025-12-09 14:20:00,0.0,16.85,16.85,16.82,324,545471.0,16.967
2025-12-09 14:21:00,0.0,16.84,16.84,16.82,105,176751.0,16.967
2025-12-09 14:22:00,0.0,16.84,16.84,16.82,399,671571.0,16.967
2025-12-09 14:23:00,0.0,16.83,16.84,16.82,312,525019.0,16.966
2025-12-09 14:24:00,0.0,16.82,16.83,16.82,461,775640.0,16.965
2025-12-09 14:25:00,0.0,16.83,16.83,16.81,363,610716.0,16.964
2025-12-09 14:26:00,0.0,16.82,16.83,16.82,372,625877.0,16.964
2025-12-09 14:27:00,0.0,16.84,16.84,16.82,463,779333.0,16.963
2025-12-09 14:28:00,0.0,16.83,16.85,16.83,254,427772.0,16.962
2025-12-09 14:29:00,0.0,16.83,16.84,16.83,269,452877.0,16.962
2025-12-09 14:30:00,0.0,16.83,16.84,16.83,279,469558.0,16.961
2025-12-09 14:31:00,0.0,16.83,16.83,16.82,296,498087.0,16.961
2025-12-09 14:32:00,0.0,16.82,16.83,16.82,318,535016.0,16.96
2025-12-09 14:33:00,0.0,16.82,16.83,16.81,528,888168.0,16.959
2025-12-09 14:34:00,0.0,16.82,16.83,16.81,319,536574.0,16.959
2025-12-09 14:35:00,0.0,16.83,16.83,16.81,236,397072.0,16.958
2025-12-09 14:36:00,0.0,16.84,16.84,16.83,506,851605.0,16.958
2025-12-09 14:37:00,0.0,16.82,16.83,16.82,263,442477.0,16.957
2025-12-09 14:38:00,0.0,16.83,16.83,16.81,237,398604.0,16.957
2025-12-09 14:39:00,0.0,16.83,16.83,16.82,83,139670.0,16.957
2025-12-09 14:40:00,0.0,16.81,16.83,16.8,1038,1745299.0,16.955
2025-12-09 14:41:00,0.0,16.82,16.83,16.81,207,348255.0,16.954
2025-12-09 14:42:00,0.0,16.83,16.83,16.82,252,423901.0,16.954
2025-12-09 14:43:00,0.0,16.83,16.84,16.82,127,213774.0,16.954
2025-12-09 14:44:00,0.0,16.84,16.84,16.82,140,235660.0,16.954
2025-12-09 14:45:00,0.0,16.84,16.84,16.83,210,353529.0,16.953
2025-12-09 14:46:00,0.0,16.83,16.84,16.82,479,806130.0,16.952
2025-12-09 14:47:00,0.0,16.83,16.84,16.82,322,541993.0,16.952
2025-12-09 14:48:00,0.0,16.84,16.84,16.83,147,247448.0,16.952
2025-12-09 14:49:00,0.0,16.84,16.84,16.82,223,375274.0,16.951
2025-12-09 14:50:00,0.0,16.84,16.84,16.82,169,284454.0,16.951
2025-12-09 14:51:00,0.0,16.83,16.84,16.83,263,442742.0,16.951
2025-12-09 14:52:00,0.0,16.82,16.83,16.82,645,1085434.0,16.95
2025-12-09 14:53:00,0.0,16.83,16.84,16.82,337,567082.0,16.949
2025-12-09 14:54:00,0.0,16.82,16.84,16.81,772,1298667.0,16.948
2025-12-09 14:55:00,0.0,16.82,16.83,16.81,360,605547.0,16.948
2025-12-09 14:56:00,0.0,16.82,16.83,16.81,450,756940.0,16.947
2025-12-09 14:57:00,0.0,16.83,16.84,16.81,500,841484.0,16.946
2025-12-09 14:58:00,0.0,16.82,16.82,16.82,2,3364.0,16.946
2025-12-09 14:59:00,0.0,16.82,16.82,16.82,0,0.0,16.946
2025-12-09 15:00:00,0.0,16.81,16.81,16.81,1654,2780374.0,16.944
2025-12-10 09:30:00,0.0,16.81,16.81,16.81,145,243745.0,16.81
2025-12-10 09:31:00,0.0,16.78,16.84,16.76,510,856598.0,16.799
2025-12-10 09:32:00,0.0,16.74,16.78,16.72,782,1309082.0,16.767
2025-12-10 09:33:00,0.0,16.74,16.74,16.71,1148,1920526.0,16.75
2025-12-10 09:34:00,0.0,16.73,16.76,16.73,439,735092.0,16.75
2025-12-10 09:35:00,0.0,16.74,16.74,16.73,337,563917.0,16.748
2025-12-10 09:36:00,0.0,16.75,16.76,16.74,261,437252.0,16.748
2025-12-10 09:37:00,0.0,16.75,16.75,16.74,341,571084.0,16.748
2025-12-10 09:38:00,0.0,16.76,16.79,16.74,493,826948.0,16.75
2025-12-10 09:39:00,0.0,16.81,16.81,16.76,554,929355.0,16.752
2025-12-10 09:40:00,0.0,16.8,16.8,16.78,195,327329.0,16.754
2025-12-10 09:41:00,0.0,16.85,16.85,16.77,662,1113080.0,16.76
2025-12-10 09:42:00,0.0,16.85,16.86,16.83,341,574535.0,16.765
2025-12-10 09:43:00,0.0,16.87,16.87,16.84,350,589975.0,16.77
2025-12-10 09:44:00,0.0,16.88,16.89,16.85,492,829912.0,16.777
2025-12-10 09:45:00,0.0,16.89,16.93,16.89,1292,2184354.0,16.797
2025-12-10 09:46:00,0.0,16.89,16.9,16.88,562,948922.0,16.803
2025-12-10 09:47:00,0.0,16.85,16.88,16.85,455,767238.0,16.807
2025-12-10 09:48:00,0.0,16.86,16.88,16.86,169,285117.0,16.808
2025-12-10 09:49:00,0.0,16.88,16.9,16.86,242,408441.0,16.81
2025-12-10 09:50:00,0.0,16.86,16.88,16.85,413,696949.0,16.812
2025-12-10 09:51:00,0.0,16.89,16.89,16.86,449,757886.0,16.815
2025-12-10 09:52:00,0.0,16.93,16.93,16.87,752,1271066.0,16.821
2025-12-10 09:53:00,0.0,16.94,16.95,16.91,879,1488525.0,16.829
2025-12-10 09:54:00,0.0,16.93,16.97,16.93,951,1612343.0,16.838
2025-12-10 09:55:00,0.0,16.91,16.94,16.91,276,466895.0,16.84
2025-12-10 09:56:00,0.0,16.92,16.93,16.91,242,409447.0,16.841
2025-12-10 09:57:00,0.0,16.91,16.92,16.91,80,135338.0,16.841
2025-12-10 09:58:00,0.0,16.94,16.97,16.92,676,1145540.0,16.846
2025-12-10 09:59:00,0.0,16.93,16.95,16.92,209,353933.0,16.848
2025-12-10 10:00:00,0.0,16.93,16.94,16.91,712,1205347.0,16.851
2025-12-10 10:01:00,0.0,16.91,16.93,16.91,153,258848.0,16.852
2025-12-10 10:02:00,0.0,16.9,16.91,16.9,619,1046207.0,16.854
2025-12-10 10:03:00,0.0,16.92,16.93,16.92,381,644499.0,16.855
2025-12-10 10:04:00,0.0,16.92,16.94,16.9,1074,1817757.0,16.86
2025-12-10 10:05:00,0.0,16.93,16.94,16.93,156,264185.0,16.86
2025-12-10 10:06:00,0.0,16.93,16.94,16.93,174,294688.0,16.861
2025-12-10 10:07:00,0.0,16.93,16.94,16.93,100,169303.0,16.861
2025-12-10 10:08:00,0.0,16.93,16.94,16.93,133,225173.0,16.862
2025-12-10 10:09:00,0.0,16.9,16.93,16.89,509,861416.0,16.864
2025-12-10 10:10:00,0.0,16.89,16.9,16.89,152,256772.0,16.864
2025-12-10 10:11:00,0.0,16.92,16.92,16.89,565,955029.0,16.865
2025-12-10 10:12:00,0.0,16.91,16.93,16.91,141,238640.0,16.865
2025-12-10 10:13:00,0.0,16.91,16.92,16.91,75,126830.0,16.866
2025-12-10 10:14:00,0.0,16.91,16.91,16.91,90,152190.0,16.866
2025-12-10 10:15:00,0.0,16.91,16.92,16.91,121,204666.0,16.866
