ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300567.SZ,20240102,87.23,87.44,85.09,85.4,87.62,-2.22,-2.5337,335.0,28.78
300567.SZ,20240103,84.64,84.8,81.7,82.6,85.4,-2.8,-3.2787,370.0,30.64
300567.SZ,20240104,82.5,82.5,79.0,79.69,82.6,-2.91,-3.523,384.0,30.71
300567.SZ,20240105,80.06,80.49,76.55,77.28,79.69,-2.41,-3.0242,278.0,21.89
300567.SZ,20240108,77.28,77.5,69.57,70.0,77.28,-7.28,-9.4203,644.0,46.22
300567.SZ,20240109,71.33,72.5,67.65,70.79,70.0,0.79,1.1286,497.0,34.7
300567.SZ,20240110,69.8,70.0,67.7,68.4,70.79,-2.39,-3.3762,371.0,25.51
300567.SZ,20240111,68.12,69.66,66.83,67.58,68.4,-0.82,-1.1988,508.0,34.53
300567.SZ,20240112,67.27,70.35,67.04,68.4,67.58,0.82,1.2134,465.0,32.13
300567.SZ,20240115,68.01,71.31,67.67,69.51,68.4,1.11,1.6228,330.0,23.09
300567.SZ,20240116,69.9,70.5,67.4,68.45,69.51,-1.06,-1.525,293.0,20.06
300567.SZ,20240117,68.3,68.5,65.96,65.96,68.45,-2.49,-3.6377,239.0,15.97
300567.SZ,20240118,65.14,65.95,63.59,65.45,65.96,-0.51,-0.7732,314.0,20.27
300567.SZ,20240119,66.6,67.18,64.68,64.71,65.45,-0.74,-1.1306,211.0,13.89
300567.SZ,20240122,65.53,65.6,61.51,62.2,64.71,-2.51,-3.8788,289.0,18.52
300567.SZ,20240123,61.21,62.46,59.8,61.79,62.2,-0.41,-0.6592,384.0,23.51
300567.SZ,20240124,61.61,62.28,58.06,60.13,61.79,-1.66,-2.6865,443.0,26.36
300567.SZ,20240125,60.69,64.23,59.84,63.5,60.13,3.37,5.6045,441.0,27.51
300567.SZ,20240126,63.17,63.88,59.3,59.46,63.5,-4.04,-6.3622,456.0,27.64
300567.SZ,20240129,59.81,60.85,57.18,57.77,59.46,-1.69,-2.8422,354.0,20.7
300567.SZ,20240130,57.53,58.25,56.0,56.15,57.77,-1.62,-2.8042,307.0,17.46
300567.SZ,20240131,55.91,56.39,53.1,53.32,56.15,-2.83,-5.0401,310.0,16.92
300567.SZ,20240201,54.02,54.15,51.91,52.75,53.32,-0.57,-1.069,374.0,19.76
300567.SZ,20240202,52.75,53.38,48.4,50.43,52.75,-2.32,-4.3981,401.0,20.56
300567.SZ,20240205,49.9,50.44,46.11,47.92,50.43,-2.51,-4.9772,799.0,38.54
300567.SZ,20240206,47.58,51.12,46.38,51.0,47.92,3.08,6.4274,678.0,33.74
300567.SZ,20240207,50.99,56.18,50.83,54.3,51.0,3.3,6.4706,668.0,36.29
300567.SZ,20240208,54.45,59.58,54.33,57.02,54.3,2.72,5.0092,593.0,34.3
300567.SZ,20240219,57.02,59.03,54.88,56.36,57.02,-0.66,-1.1575,603.0,33.91
300567.SZ,20240220,55.52,57.36,55.52,56.48,56.36,0.12,0.2129,313.0,17.59
300567.SZ,20240221,56.56,58.14,55.53,55.93,56.48,-0.55,-0.9738,410.0,23.27
300567.SZ,20240222,55.9,58.26,55.9,57.96,55.93,2.03,3.6295,347.0,19.88
300567.SZ,20240223,58.9,58.96,55.63,57.93,57.96,-0.03,-0.0518,489.0,27.77
300567.SZ,20240226,58.41,61.48,57.51,59.79,57.93,1.86,3.2108,493.0,29.23
300567.SZ,20240227,60.02,64.2,59.08,64.02,59.79,4.23,7.0748,540.0,33.62
300567.SZ,20240228,65.0,65.0,59.5,59.6,64.02,-4.42,-6.9041,530.0,32.89
300567.SZ,20240229,59.0,64.88,59.0,64.19,59.6,4.59,7.7013,599.0,37.89
300567.SZ,20240301,63.65,70.07,63.2,69.63,64.19,5.44,8.4748,1203.0,79.94
300567.SZ,20240304,68.48,76.98,68.0,74.05,69.63,4.42,6.3478,1285.0,93.05
300567.SZ,20240305,72.5,74.57,70.66,71.42,74.05,-2.63,-3.5517,755.0,54.31
300567.SZ,20240306,70.01,72.8,68.06,71.53,71.42,0.11,0.154,642.0,45.1
300567.SZ,20240307,72.39,75.41,69.3,69.59,71.53,-1.94,-2.7121,535.0,38.4
300567.SZ,20240308,69.57,71.5,69.1,70.87,69.59,1.28,1.8393,436.0,30.65
300567.SZ,20240311,69.6,70.8,68.79,70.5,70.87,-0.37,-0.5221,386.0,26.86
300567.SZ,20240312,71.51,71.67,69.17,69.86,70.5,-0.64,-0.9078,323.0,22.67
300567.SZ,20240313,69.87,70.5,67.41,68.03,69.86,-1.83,-2.6195,509.0,34.96
300567.SZ,20240314,67.93,67.93,65.57,65.8,68.03,-2.23,-3.278,475.0,31.45
300567.SZ,20240315,65.79,69.55,65.5,68.55,65.8,2.75,4.1793,625.0,42.38
300567.SZ,20240318,68.61,71.39,67.31,71.19,68.55,2.64,3.8512,608.0,42.48
300567.SZ,20240319,71.19,72.48,69.68,70.9,71.19,-0.29,-0.4074,447.0,31.7
300567.SZ,20240320,70.89,73.66,70.13,73.3,70.9,2.4,3.385,688.0,49.9
300567.SZ,20240321,73.99,75.0,71.72,73.2,73.3,-0.1,-0.1364,440.0,32.12
300567.SZ,20240322,72.29,75.97,72.27,74.52,73.2,1.32,1.8033,624.0,46.47
300567.SZ,20240325,73.9,75.45,71.63,72.2,74.52,-2.32,-3.1133,644.0,47.34
300567.SZ,20240326,74.0,77.99,71.72,75.81,72.2,3.61,5.0,1219.0,91.83
300567.SZ,20240327,75.0,76.45,72.46,73.77,75.81,-2.04,-2.6909,836.0,62.25
