ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
601921.SH,20240102,7.68,7.83,7.66,7.71,7.64,0.07,0.9162,1603.0,12.38
601921.SH,20240103,7.66,7.86,7.62,7.8,7.71,0.09,1.1673,1494.0,11.63
601921.SH,20240104,7.78,7.92,7.68,7.88,7.8,0.08,1.0256,1417.0,11.09
601921.SH,20240105,7.87,7.88,7.66,7.72,7.88,-0.16,-2.0305,1352.0,10.51
601921.SH,20240108,7.7,7.75,7.62,7.65,7.72,-0.07,-0.9067,781.0,5.99
601921.SH,20240109,7.64,7.72,7.58,7.63,7.65,-0.02,-0.2614,839.0,6.41
601921.SH,20240110,7.61,7.61,7.44,7.45,7.63,-0.18,-2.3591,974.0,7.3
601921.SH,20240111,7.43,7.6,7.42,7.55,7.45,0.1,1.3423,815.0,6.15
601921.SH,20240112,7.51,7.55,7.43,7.43,7.55,-0.12,-1.5894,992.0,7.41
601921.SH,20240115,7.42,7.52,7.38,7.44,7.43,0.01,0.1346,728.0,5.42
601921.SH,20240116,7.41,7.43,7.31,7.38,7.44,-0.06,-0.8065,1126.0,8.29
601921.SH,20240117,7.36,7.41,7.27,7.27,7.38,-0.11,-1.4905,901.0,6.61
601921.SH,20240118,7.29,7.32,7.13,7.32,7.27,0.05,0.6878,1151.0,8.3
601921.SH,20240119,7.32,7.58,7.28,7.39,7.32,0.07,0.9563,1326.0,9.87
601921.SH,20240122,7.36,7.37,6.97,7.01,7.39,-0.38,-5.1421,1736.0,12.4
601921.SH,20240123,7.01,7.24,6.99,7.18,7.01,0.17,2.4251,926.0,6.6
601921.SH,20240124,7.19,7.24,7.0,7.23,7.18,0.05,0.6964,886.0,6.33
601921.SH,20240125,7.23,7.68,7.21,7.64,7.23,0.41,5.6708,2428.0,18.2
601921.SH,20240126,7.64,7.75,7.54,7.64,7.64,0.0,0.0,1267.0,9.69
601921.SH,20240129,7.68,7.73,7.5,7.57,7.64,-0.07,-0.9162,1890.0,14.36
601921.SH,20240130,7.57,7.58,7.3,7.3,7.57,-0.27,-3.5667,1050.0,7.81
601921.SH,20240131,7.29,7.53,7.25,7.3,7.3,0.0,0.0,1665.0,12.32
601921.SH,20240201,7.29,7.35,7.02,7.09,7.3,-0.21,-2.8767,1348.0,9.64
601921.SH,20240202,7.09,7.3,6.88,7.0,7.09,-0.09,-1.2694,1768.0,12.59
601921.SH,20240205,6.94,7.0,6.68,6.76,7.0,-0.24,-3.4286,1999.0,13.58
601921.SH,20240206,6.7,7.14,6.55,7.14,6.76,0.38,5.6213,1867.0,12.83
601921.SH,20240207,7.06,7.41,6.99,7.3,7.14,0.16,2.2409,1597.0,11.63
601921.SH,20240208,7.32,7.59,7.25,7.44,7.3,0.14,1.9178,1651.0,12.36
601921.SH,20240219,7.58,7.71,7.47,7.62,7.44,0.18,2.4194,1453.0,11.05
601921.SH,20240220,7.59,7.72,7.48,7.68,7.62,0.06,0.7874,1379.0,10.53
601921.SH,20240221,7.58,7.87,7.56,7.7,7.68,0.02,0.2604,1342.0,10.39
601921.SH,20240222,7.67,7.87,7.66,7.83,7.7,0.13,1.6883,1142.0,8.88
601921.SH,20240223,7.83,8.01,7.75,7.99,7.83,0.16,2.0434,1483.0,11.72
601921.SH,20240226,7.95,8.09,7.9,8.05,7.99,0.06,0.7509,1286.0,10.31
601921.SH,20240227,8.02,8.12,7.96,8.11,8.05,0.06,0.7453,1073.0,8.65
601921.SH,20240228,8.92,8.92,8.69,8.73,8.11,0.62,7.6449,7471.0,66.48
601921.SH,20240229,8.27,8.44,8.04,8.41,8.73,-0.32,-3.6655,7209.0,59.56
601921.SH,20240301,8.25,8.31,7.94,8.12,8.41,-0.29,-3.4483,4876.0,39.46
601921.SH,20240304,8.13,8.26,8.02,8.23,8.12,0.11,1.3547,3062.0,24.94
601921.SH,20240305,8.21,8.52,8.14,8.44,8.23,0.21,2.5516,3349.0,27.99
601921.SH,20240306,8.38,8.63,8.37,8.52,8.44,0.08,0.9479,2206.0,18.74
601921.SH,20240307,8.52,8.85,8.5,8.61,8.52,0.09,1.0563,2556.0,22.13
601921.SH,20240308,8.6,9.14,8.59,9.07,8.61,0.46,5.3426,3590.0,32.2
601921.SH,20240311,9.0,9.56,8.89,9.5,9.07,0.43,4.7409,3797.0,35.24
601921.SH,20240312,9.54,9.82,9.23,9.39,9.5,-0.11,-1.1579,4321.0,41.04
601921.SH,20240313,9.31,9.55,9.18,9.37,9.39,-0.02,-0.213,2352.0,21.95
601921.SH,20240314,9.26,9.33,8.97,9.04,9.37,-0.33,-3.5219,1577.0,14.36
601921.SH,20240315,9.05,9.14,8.95,9.08,9.04,0.04,0.4425,1040.0,9.38
601921.SH,20240318,9.1,9.24,9.06,9.15,9.08,0.07,0.7709,1070.0,9.78
601921.SH,20240319,9.15,9.3,8.96,8.97,9.15,-0.18,-1.9672,1570.0,14.3
601921.SH,20240320,8.91,9.34,8.89,9.22,8.97,0.25,2.7871,2507.0,22.97
601921.SH,20240321,9.25,9.37,9.11,9.13,9.22,-0.09,-0.9761,1539.0,14.17
601921.SH,20240322,9.09,9.33,9.04,9.24,9.13,0.11,1.2048,2130.0,19.65
601921.SH,20240325,9.24,9.3,8.85,8.88,9.24,-0.36,-3.8961,1640.0,14.86
601921.SH,20240326,8.88,8.96,8.72,8.83,8.88,-0.05,-0.5631,1365.0,12.06
601921.SH,20240327,8.83,8.92,8.66,8.69,8.83,-0.14,-1.5855,1009.0,8.83
601921.SH,20240328,8.65,8.97,8.65,8.89,8.69,0.2,2.3015,1023.0,9.05
601921.SH,20240329,8.83,8.88,8.68,8.74,8.89,-0.15,-1.6873,897.0,7.84
601921.SH,20240401,8.78,8.89,8.72,8.88,8.74,0.14,1.6018,866.0,7.64
601921.SH,20240402,8.85,8.88,8.65,8.73,8.88,-0.15,-1.6892,807.0,7.04
601921.SH,20240403,8.67,8.73,8.57,8.65,8.73,-0.08,-0.9164,693.0,5.98
601921.SH,20240408,8.65,8.65,8.45,8.48,8.65,-0.17,-1.9653,958.0,8.18
601921.SH,20240409,8.5,8.55,8.43,8.49,8.48,0.01,0.1179,591.0,5.02
601921.SH,20240410,8.46,8.48,8.25,8.32,8.49,-0.17,-2.0024,733.0,6.12
601921.SH,20240411,8.26,8.74,8.25,8.65,8.32,0.33,3.9663,1235.0,10.59
601921.SH,20240412,8.6,8.8,8.55,8.63,8.65,-0.02,-0.2312,782.0,6.77
601921.SH,20240415,8.65,8.85,8.56,8.79,8.63,0.16,1.854,1085.0,9.47
601921.SH,20240416,8.76,8.88,8.5,8.57,8.79,-0.22,-2.5028,1282.0,11.08
601921.SH,20240417,8.57,8.88,8.57,8.85,8.57,0.28,3.2672,1180.0,10.39
601921.SH,20240418,8.85,8.85,8.63,8.71,8.85,-0.14,-1.5819,761.0,6.66
601921.SH,20240419,8.68,8.8,8.61,8.62,8.71,-0.09,-1.0333,617.0,5.35
601921.SH,20240422,8.65,8.69,8.43,8.48,8.62,-0.14,-1.6241,752.0,6.42
601921.SH,20240423,8.44,8.61,8.35,8.42,8.48,-0.06,-0.7075,872.0,7.36
601921.SH,20240424,8.29,8.45,8.0,8.4,8.42,-0.02,-0.2375,1375.0,11.34
601921.SH,20240425,8.26,8.35,8.04,8.26,8.4,-0.14,-1.6667,1346.0,11.03
601921.SH,20240426,8.21,8.51,8.2,8.4,8.26,0.14,1.6949,1178.0,9.9
601921.SH,20240429,8.4,8.75,8.4,8.68,8.4,0.28,3.3333,1066.0,9.17
601921.SH,20240430,8.68,8.71,8.51,8.66,8.68,-0.02,-0.2304,945.0,8.13
601921.SH,20240506,8.78,9.0,8.72,8.91,8.66,0.25,2.8868,1204.0,10.69
601921.SH,20240507,8.9,8.98,8.75,8.8,8.91,-0.11,-1.2346,826.0,7.29
601921.SH,20240508,8.8,8.8,8.59,8.61,8.8,-0.19,-2.1591,690.0,5.98
601921.SH,20240509,8.6,8.77,8.6,8.73,8.61,0.12,1.3937,527.0,4.59
601921.SH,20240510,8.75,8.8,8.56,8.64,8.73,-0.09,-1.0309,676.0,5.84
601921.SH,20240513,8.65,9.1,8.52,8.93,8.64,0.29,3.3565,1977.0,17.5
601921.SH,20240514,8.98,9.35,8.94,9.25,8.93,0.32,3.5834,2732.0,25.03
601921.SH,20240515,9.25,9.59,9.09,9.13,9.25,-0.12,-1.2973,3060.0,28.51
601921.SH,20240516,9.05,9.33,8.92,9.17,9.13,0.04,0.4381,2248.0,20.61
601921.SH,20240517,9.26,9.52,9.15,9.27,9.17,0.1,1.0905,2202.0,20.52
601921.SH,20240520,8.99,9.09,8.7,9.0,9.27,-0.27,-2.9126,2006.0,17.88
601921.SH,20240521,8.99,9.21,8.95,9.1,9.0,0.1,1.1111,1162.0,10.58
601921.SH,20240522,9.1,9.14,8.9,8.93,9.1,-0.17,-1.8681,935.0,8.41
601921.SH,20240523,8.87,8.92,8.54,8.63,8.93,-0.3,-3.3595,1029.0,8.94
601921.SH,20240524,8.62,8.69,8.52,8.54,8.63,-0.09,-1.0429,595.0,5.12
601921.SH,20240527,8.55,8.71,8.5,8.7,8.54,0.16,1.8735,598.0,5.15
601921.SH,20240528,8.64,8.73,8.56,8.57,8.7,-0.13,-1.4943,492.0,4.25
601921.SH,20240529,8.45,8.7,8.42,8.5,8.57,-0.07,-0.8168,553.0,4.73
601921.SH,20240530,8.46,8.65,8.42,8.54,8.5,0.04,0.4706,530.0,4.53
601921.SH,20240531,8.48,8.69,8.47,8.64,8.54,0.1,1.171,520.0,4.48
601921.SH,20240603,8.66,8.91,8.62,8.74,8.64,0.1,1.1574,951.0,8.35
601921.SH,20240604,8.74,8.92,8.62,8.88,8.74,0.14,1.6018,855.0,7.54
601921.SH,20240605,8.89,8.92,8.49,8.5,8.88,-0.38,-4.2793,990.0,8.57
601921.SH,20240606,8.49,8.7,8.38,8.45,8.5,-0.05,-0.5882,1078.0,9.16
601921.SH,20240607,8.5,8.63,8.41,8.6,8.45,0.15,1.7751,719.0,6.13
601921.SH,20240611,8.99,9.38,8.6,8.75,8.6,0.15,1.7442,3773.0,33.64
601921.SH,20240612,8.74,9.63,8.68,9.63,8.75,0.88,10.0571,6472.0,60.81
601921.SH,20240613,9.6,9.6,9.19,9.21,9.63,-0.42,-4.3614,6700.0,62.4
601921.SH,20240614,9.27,9.57,9.2,9.21,9.21,0.0,0.0,4963.0,46.38
601921.SH,20240617,9.03,9.08,8.81,8.88,9.21,-0.33,-3.5831,3797.0,33.85
601921.SH,20240618,8.87,8.88,8.61,8.78,8.88,-0.1,-1.1261,3748.0,32.58
601921.SH,20240619,8.69,8.78,8.6,8.71,8.78,-0.07,-0.7973,2368.0,20.6
601921.SH,20240620,8.69,8.73,8.4,8.42,8.71,-0.29,-3.3295,2762.0,23.51
601921.SH,20240621,8.03,8.17,7.9,8.07,8.03,0.04,0.4981,1601.0,12.88
601921.SH,20240624,7.95,8.0,7.54,7.58,8.07,-0.49,-6.0719,2404.0,18.55
601921.SH,20240625,7.56,7.71,7.46,7.58,7.58,0.0,0.0,1522.0,11.57
601921.SH,20240626,7.57,7.82,7.5,7.8,7.58,0.22,2.9024,1741.0,13.41
601921.SH,20240627,7.7,7.79,7.47,7.48,7.8,-0.32,-4.1026,1528.0,11.64
601921.SH,20240628,7.43,7.69,7.41,7.64,7.48,0.16,2.139,1471.0,11.18
601921.SH,20240701,7.63,7.85,7.49,7.82,7.64,0.18,2.356,1457.0,11.21
601921.SH,20240702,7.81,7.92,7.72,7.82,7.82,0.0,0.0,1076.0,8.41
601921.SH,20240703,7.8,7.86,7.75,7.78,7.82,-0.04,-0.5115,667.0,5.21
601921.SH,20240704,7.78,7.83,7.55,7.6,7.78,-0.18,-2.3136,867.0,6.64
601921.SH,20240705,7.58,7.76,7.53,7.74,7.6,0.14,1.8421,711.0,5.46
601921.SH,20240708,7.72,7.78,7.5,7.51,7.74,-0.23,-2.9716,917.0,6.97
601921.SH,20240709,7.57,7.68,7.42,7.65,7.51,0.14,1.8642,791.0,5.99
601921.SH,20240710,7.61,7.67,7.34,7.38,7.65,-0.27,-3.5294,1073.0,8.03
601921.SH,20240711,7.46,7.51,7.3,7.47,7.38,0.09,1.2195,1056.0,7.85
601921.SH,20240712,7.46,7.52,7.37,7.42,7.47,-0.05,-0.6693,709.0,5.28
601921.SH,20240715,7.42,7.57,7.32,7.53,7.42,0.11,1.4825,799.0,5.97
601921.SH,20240716,7.54,7.56,7.41,7.51,7.53,-0.02,-0.2656,606.0,4.53
601921.SH,20240717,7.48,7.55,7.41,7.47,7.51,-0.04,-0.5326,662.0,4.95
601921.SH,20240718,7.43,7.45,7.25,7.4,7.47,-0.07,-0.9371,842.0,6.18
601921.SH,20240719,7.39,7.55,7.37,7.47,7.4,0.07,0.9459,595.0,4.45
601921.SH,20240722,7.49,7.52,7.38,7.5,7.47,0.03,0.4016,566.0,4.22
601921.SH,20240723,7.46,7.53,7.36,7.39,7.5,-0.11,-1.4667,646.0,4.8
601921.SH,20240724,7.38,7.52,7.35,7.42,7.39,0.03,0.406,636.0,4.73
601921.SH,20240725,7.4,7.61,7.34,7.58,7.42,0.16,2.1563,1150.0,8.64
601921.SH,20240726,7.56,7.58,7.47,7.54,7.58,-0.04,-0.5277,752.0,5.65
601921.SH,20240729,7.52,7.94,7.48,7.86,7.54,0.32,4.244,1791.0,13.89
601921.SH,20240730,7.76,8.13,7.75,7.98,7.86,0.12,1.5267,2003.0,16.01
601921.SH,20240731,7.94,8.1,7.83,8.08,7.98,0.1,1.2531,1790.0,14.33
601921.SH,20240801,8.01,8.23,8.0,8.08,8.08,0.0,0.0,1093.0,8.86
601921.SH,20240802,8.09,8.28,8.05,8.09,8.08,0.01,0.1238,1376.0,11.25
601921.SH,20240805,8.06,8.3,8.04,8.05,8.09,-0.04,-0.4944,1598.0,13.06
601921.SH,20240806,8.14,8.36,8.05,8.28,8.05,0.23,2.8571,1867.0,15.33
601921.SH,20240807,8.35,8.58,8.24,8.29,8.28,0.01,0.1208,2973.0,25.03
601921.SH,20240808,8.22,8.67,8.11,8.4,8.29,0.11,1.3269,4274.0,35.85
601921.SH,20240809,8.33,8.46,8.03,8.05,8.4,-0.35,-4.1667,3590.0,29.42
601921.SH,20240812,8.01,8.5,7.87,8.28,8.05,0.23,2.8571,3608.0,29.65
601921.SH,20240813,8.3,8.62,8.18,8.27,8.28,-0.01,-0.1208,3321.0,27.85
601921.SH,20240814,8.33,8.7,8.23,8.48,8.27,0.21,2.5393,5184.0,44.13
601921.SH,20240815,8.48,8.86,8.44,8.6,8.48,0.12,1.4151,5588.0,48.29
601921.SH,20240816,8.49,8.78,8.28,8.61,8.6,0.01,0.1163,4700.0,39.96
601921.SH,20240819,8.9,9.42,8.5,8.7,8.61,0.09,1.0453,10031.0,90.01
601921.SH,20240820,8.88,9.57,8.76,9.57,8.7,0.87,10.0,16212.0,152.27
