ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
920179.BJ,20240102,22.75,24.72,22.43,23.84,23.04,0.8,3.4722,308.0,7.31
920179.BJ,20240103,24.0,24.52,23.0,23.35,23.84,-0.49,-2.0554,144.0,3.39
920179.BJ,20240104,23.12,23.39,22.01,22.96,23.35,-0.39,-1.6702,140.0,3.17
920179.BJ,20240105,22.84,23.06,21.2,21.3,22.96,-1.66,-7.23,201.0,4.4
920179.BJ,20240108,21.49,21.94,20.1,20.17,21.3,-1.13,-5.3052,130.0,2.71
920179.BJ,20240109,20.27,20.48,19.44,19.88,20.17,-0.29,-1.4378,124.0,2.47
920179.BJ,20240110,20.03,20.78,19.08,20.33,19.88,0.45,2.2636,109.0,2.17
920179.BJ,20240111,20.21,20.96,20.21,20.7,20.33,0.37,1.82,84.0,1.73
920179.BJ,20240112,20.9,20.98,19.47,19.83,20.7,-0.87,-4.2029,121.0,2.44
920179.BJ,20240115,19.63,20.24,19.0,19.42,19.83,-0.41,-2.0676,68.0,1.32
920179.BJ,20240116,19.59,20.76,19.0,20.57,19.42,1.15,5.9217,125.0,2.46
920179.BJ,20240117,20.37,21.42,20.0,20.22,20.57,-0.35,-1.7015,88.0,1.81
920179.BJ,20240118,20.22,20.5,19.32,20.45,20.22,0.23,1.1375,121.0,2.41
920179.BJ,20240119,20.26,21.0,20.26,20.77,20.45,0.32,1.5648,119.0,2.45
920179.BJ,20240122,20.6,20.72,19.29,19.29,20.77,-1.48,-7.1257,99.0,1.97
920179.BJ,20240123,19.2,19.48,19.0,19.18,19.29,-0.11,-0.5702,70.0,1.34
920179.BJ,20240124,19.35,19.37,17.96,18.72,19.18,-0.46,-2.3983,125.0,2.3
920179.BJ,20240125,18.53,18.72,18.1,18.52,18.72,-0.2,-1.0684,75.0,1.38
920179.BJ,20240126,18.37,18.88,18.07,18.15,18.52,-0.37,-1.9978,49.0,0.91
920179.BJ,20240129,18.08,18.29,17.12,17.24,18.15,-0.91,-5.0138,54.0,0.95
920179.BJ,20240130,17.07,17.5,16.86,17.01,17.24,-0.23,-1.3341,47.0,0.8
920179.BJ,20240131,17.01,17.59,16.86,16.93,17.01,-0.08,-0.4703,46.0,0.79
920179.BJ,20240201,17.07,17.19,16.5,16.68,16.93,-0.25,-1.4767,26.0,0.44
920179.BJ,20240202,16.68,16.8,15.46,15.93,16.68,-0.75,-4.4964,62.0,0.99
920179.BJ,20240205,15.78,15.78,14.44,15.2,15.93,-0.73,-4.5825,70.0,1.05
920179.BJ,20240206,15.35,16.73,14.9,16.15,15.2,0.95,6.25,63.0,1.01
920179.BJ,20240207,16.31,17.4,16.1,16.66,16.15,0.51,3.1579,77.0,1.31
920179.BJ,20240208,16.83,18.79,16.0,18.07,16.66,1.41,8.4634,168.0,3.0
920179.BJ,20240219,17.79,18.07,16.88,18.0,18.07,-0.07,-0.3874,105.0,1.83
920179.BJ,20240220,17.69,18.2,17.45,17.72,18.0,-0.28,-1.5556,72.0,1.27
920179.BJ,20240221,17.6,17.95,17.31,17.72,17.72,0.0,0.0,68.0,1.21
920179.BJ,20240222,17.58,18.0,17.5,17.56,17.72,-0.16,-0.9029,53.0,0.94
920179.BJ,20240223,17.73,17.79,17.04,17.12,17.56,-0.44,-2.5057,64.0,1.1
920179.BJ,20240226,17.12,17.43,17.01,17.15,17.12,0.03,0.1752,45.0,0.78
920179.BJ,20240227,17.07,18.05,17.07,17.95,17.15,0.8,4.6647,96.0,1.7
920179.BJ,20240228,17.95,19.34,17.51,17.69,17.95,-0.26,-1.4485,174.0,3.19
920179.BJ,20240229,18.4,19.88,18.13,19.75,17.69,2.06,11.645,240.0,4.54
920179.BJ,20240301,19.7,19.99,18.8,19.86,19.75,0.11,0.557,204.0,3.95
920179.BJ,20240304,19.87,20.62,19.11,19.7,19.86,-0.16,-0.8056,203.0,4.03
920179.BJ,20240305,19.3,19.3,18.5,18.73,19.7,-0.97,-4.9239,109.0,2.05
920179.BJ,20240306,18.73,19.35,18.66,18.9,18.73,0.17,0.9076,79.0,1.5
920179.BJ,20240307,19.0,19.08,18.02,18.02,18.9,-0.88,-4.6561,67.0,1.24
920179.BJ,20240308,18.15,18.3,17.76,18.05,18.02,0.03,0.1665,44.0,0.79
920179.BJ,20240311,18.05,18.1,17.45,17.99,18.05,-0.06,-0.3324,54.0,0.96
920179.BJ,20240312,18.09,18.09,17.62,18.02,17.99,0.03,0.1668,60.0,1.06
920179.BJ,20240313,18.0,18.05,17.65,17.8,18.02,-0.22,-1.2209,31.0,0.56
920179.BJ,20240314,17.66,17.88,17.59,17.65,17.8,-0.15,-0.8427,30.0,0.53
920179.BJ,20240315,17.66,18.32,17.35,18.22,17.65,0.57,3.2295,72.0,1.3
920179.BJ,20240318,18.11,18.18,17.64,18.0,18.22,-0.22,-1.2075,70.0,1.26
920179.BJ,20240319,17.89,18.04,17.7,17.75,18.0,-0.25,-1.3889,40.0,0.71
920179.BJ,20240320,17.8,17.9,17.69,17.8,17.75,0.05,0.2817,33.0,0.59
920179.BJ,20240321,17.97,18.05,17.73,17.78,17.8,-0.02,-0.1124,28.0,0.5
920179.BJ,20240322,17.65,17.84,17.28,17.3,17.78,-0.48,-2.6997,47.0,0.83
920179.BJ,20240325,17.99,18.7,17.65,17.86,17.3,0.56,3.237,137.0,2.49
920179.BJ,20240326,18.09,18.5,17.15,17.44,17.86,-0.42,-2.3516,78.0,1.38
920179.BJ,20240327,18.33,18.33,17.11,17.23,17.44,-0.21,-1.2041,41.0,0.72
920179.BJ,20240328,17.12,17.86,17.1,17.54,17.23,0.31,1.7992,44.0,0.76
920179.BJ,20240329,17.46,17.61,17.14,17.39,17.54,-0.15,-0.8552,21.0,0.37
920179.BJ,20240401,17.49,17.88,17.25,17.6,17.39,0.21,1.2076,32.0,0.56
920179.BJ,20240402,17.73,17.73,17.2,17.44,17.6,-0.16,-0.9091,22.0,0.38
920179.BJ,20240403,17.5,17.5,17.15,17.33,17.44,-0.11,-0.6307,18.0,0.32
920179.BJ,20240408,17.23,17.39,17.0,17.0,17.33,-0.33,-1.9042,21.0,0.36
920179.BJ,20240409,17.0,17.22,16.63,16.9,17.0,-0.1,-0.5882,28.0,0.47
920179.BJ,20240410,16.99,17.46,16.82,16.97,16.9,0.07,0.4142,35.0,0.6
920179.BJ,20240411,16.75,17.0,16.38,16.51,16.97,-0.46,-2.7107,27.0,0.45
920179.BJ,20240412,16.66,16.67,16.37,16.37,16.51,-0.14,-0.848,10.0,0.16
920179.BJ,20240415,16.53,16.68,16.1,16.12,16.37,-0.25,-1.5272,21.0,0.34
920179.BJ,20240416,16.28,17.08,15.19,16.23,16.12,0.11,0.6824,44.0,0.71
920179.BJ,20240417,16.39,17.05,16.39,16.96,16.23,0.73,4.4978,24.0,0.4
920179.BJ,20240418,17.05,17.27,16.75,16.82,16.96,-0.14,-0.8255,25.0,0.42
920179.BJ,20240419,16.7,16.82,16.34,16.39,16.82,-0.43,-2.5565,13.0,0.22
920179.BJ,20240422,16.52,16.52,16.0,16.0,16.39,-0.39,-2.3795,18.0,0.29
920179.BJ,20240423,16.15,16.24,15.98,16.08,16.0,0.08,0.5,13.0,0.21
920179.BJ,20240424,16.07,16.28,16.07,16.22,16.08,0.14,0.8706,18.0,0.29
920179.BJ,20240425,16.28,16.35,16.14,16.21,16.22,-0.01,-0.0617,6.0,0.11
920179.BJ,20240426,16.16,16.39,16.08,16.36,16.21,0.15,0.9254,15.0,0.25
920179.BJ,20240429,16.33,16.79,16.33,16.66,16.36,0.3,1.8337,20.0,0.34
920179.BJ,20240430,16.66,17.34,16.66,17.0,16.66,0.34,2.0408,28.0,0.48
920179.BJ,20240506,17.16,17.32,16.9,17.21,17.0,0.21,1.2353,38.0,0.66
920179.BJ,20240507,17.26,18.28,17.08,17.79,17.21,0.58,3.3701,67.0,1.19
920179.BJ,20240508,17.62,17.66,17.35,17.5,17.79,-0.29,-1.6301,27.0,0.47
